Doxorubicin;Taxol;Cisplatin;Experiments 
10;1.11;20;0.151695194982789
3.33;1.11;20;0.234592351582025
1.11;1.11;20;0.317159428490593
0.37;1.11;20;0.119583156504928
0.123;1.11;20;0.168482104965342
0.041;1.11;20;0.165039845334088
0.0137;1.11;20;0.179799122931108
10;1.11;10;0.16494553685104
3.33;1.11;10;0.245013438958834
1.11;1.11;10;0.32380817654548
0.37;1.11;10;0.182675531664073
0.123;1.11;10;0.395812703352667
0.041;1.11;10;0.445371811194417
0.0137;1.11;10;0.388692412882539
10;1.11;3.33;0.169095110105154
3.33;1.11;3.33;0.252275192153534
1.11;1.11;3.33;0.331635780638468
0.37;1.11;3.33;0.373461592870279
0.123;1.11;3.33;0.659593530438063
0.041;1.11;3.33;0.60965718866412
0.0137;1.11;3.33;0.526665723581836
10;1.11;1.11;0.172065827321168
3.33;1.11;1.11;0.256849153581365
1.11;1.11;1.11;0.33903899655774
0.37;1.11;1.11;0.50256990616306
0.123;1.11;1.11;0.739708586787381
0.041;1.11;1.11;0.716414391474513
0.0137;1.11;1.11;0.62781157165087
10;1.11;0.37;0.175036544537181
3.33;1.11;0.37;0.266327156127694
1.11;1.11;0.37;0.328099212524167
0.37;1.11;0.37;0.495968312349696
0.123;1.11;0.37;0.73371999811383
0.041;1.11;0.37;0.652709011175555
0.0137;1.11;0.37;0.567925684915358
10;1.11;0.123;0.172065827321168
3.33;1.11;0.123;0.26769462913189
1.11;1.11;0.123;0.320082991465082
0.37;1.11;0.123;0.528646201725845
0.123;1.11;0.123;0.788984769179988
0.041;1.11;0.123;0.743811005799972
0.0137;1.11;0.123;0.976564341962559
10;1.11;0.041;0.173291837600792
3.33;1.11;0.041;0.261281652284623
1.11;1.11;0.041;0.331588626396944
0.37;1.11;0.041;0.518790965247324
0.123;1.11;0.041;0.760786532748621
0.041;1.11;0.041;0.707266468618852
0.0137;1.11;0.0137;0.861225067194794
10;1.11;0.0137;0.168057716791625
3.33;1.11;0.0137;0.262177582873579
1.11;1.11;0.0137;0.328004904041118
0.37;1.11;0.0137;0.495355307209883
0.123;1.11;0.0137;0.72141274107606
0.041;1.11;0.0137;0.671712170509737
0.0137;1.11;0.0137;0.801103409251662
10;0.37;20;0.136622051121357
3.33;0.37;20;0.247056716952415
1.11;0.37;20;0.290433770535834
0.37;0.37;20;0.139218407269797
0.123;0.37;20;0.204351134786696
0.041;0.37;20;0.233716818120775
0.0137;0.37;20;0.235014996194995
10;0.37;10;0.116343614306818
3.33;0.37;10;0.252025605443395
1.11;0.37;10;0.319262276735754
0.37;0.37;10;0.229419401047495
0.123;0.37;10;0.435158243430771
0.041;0.37;10;0.464926809615471
0.0137;0.37;10;0.446707551815211
10;0.37;3.33;0.160481668830297
3.33;0.37;3.33;0.268633331841175
1.11;0.37;3.33;0.330319172747213
0.37;0.37;3.33;0.452124087917991
0.123;0.37;3.33;0.645552620976767
0.041;0.37;3.33;0.626259008908187
0.0137;0.37;3.33;0.611352343435248
10;0.37;1.11;0.193428533058776
3.33;0.37;1.11;0.267156094722235
1.11;0.37;1.11;0.320023277675814
0.37;0.37;1.11;0.564304579435069
0.123;0.37;1.11;0.646000268588567
0.041;0.37;1.11;0.681543488965486
0.0137;0.37;1.11;0.796947043287524
10;0.37;0.37;0.204843547159676
3.33;0.37;0.37;0.271005864183715
1.11;0.37;0.37;0.340928421146873
0.37;0.37;0.37;0.556828864318009
0.123;0.37;0.37;0.726353014906665
0.041;0.37;0.37;0.677738484265186
0.0137;0.37;0.37;0.960069833027441
10;0.37;0.123;0.201799543399436
3.33;0.37;0.123;0.269215273736515
1.11;0.37;0.123;0.322932987152514
0.37;0.37;0.123;0.558574690004029
0.123;0.37;0.123;0.728815076771566
0.041;0.37;0.123;0.659787815032007
0.0137;0.37;0.123;0.873987197278303
10;0.37;0.041;0.213930793679216
3.33;0.37;0.041;0.273333631765075
1.11;0.37;0.041;0.332333587000313
0.37;0.37;0.041;0.569452526970769
0.123;0.37;0.041;0.733381082411925
0.041;0.37;0.041;0.691794619275706
0.0137;0.37;0.0137;0.896100989301222
10;0.37;0.0137;0.212050673709656
3.33;0.37;0.0137;0.267961860423475
1.11;0.37;0.0137;0.324992166166793
0.37;0.37;0.0137;0.560007162361789
0.123;0.37;0.0137;0.624871301311608
0.041;0.37;0.0137;0.673843950042527
0.0137;0.37;0.0137;0.903666233940642
10;0.123;20;0.125027977975738
3.33;0.123;20;0.239849590402435
1.11;0.123;20;0.312458033036394
0.37;0.123;20;0.154886073682797
0.123;0.123;20;0.202515779578316
0.041;0.123;20;0.209185728994136
0.0137;0.123;20;0.220332154527956
10;0.123;10;0.115358789560858
3.33;0.123;10;0.255472492054255
1.11;0.123;10;0.325529343300954
0.37;0.123;10;0.248086306459555
0.123;0.123;10;0.433636241550651
0.041;0.123;10;0.460450333497471
0.0137;0.123;10;0.444021666144411
10;0.123;3.33;0.166301087783697
3.33;0.123;3.33;0.281570347822194
1.11;0.123;3.33;0.318098392945074
0.37;0.123;3.33;0.465374457227271
0.123;0.123;3.33;0.644791620036707
0.041;0.123;3.33;0.607950221585568
0.0137;0.123;3.33;0.590223376158288
10;0.123;1.11;0.209722906128296
3.33;0.123;1.11;0.268991449930615
1.11;0.123;1.11;0.327364698509333
0.37;0.123;1.11;0.576883477326648
0.123;0.123;1.11;0.721473655938045
0.041;0.123;1.11;0.682573078472626
0.0137;0.123;1.11;0.606338690183088
10;0.123;0.37;0.235373114284435
3.33;0.123;0.37;0.276690988853575
1.11;0.123;0.37;0.343793365862393
0.37;0.123;0.37;0.622543533730248
0.123;0.123;0.37;0.705447871435606
0.041;0.123;0.37;0.704865929540266
0.0137;0.123;0.37;0.625498007968127
10;0.123;0.123;0.222973275437576
3.33;0.123;0.123;0.273646985093335
1.11;0.123;0.123;0.344554366802453
0.37;0.123;0.123;0.602265096915708
0.123;0.123;0.123;0.721563185460406
0.041;0.123;0.123;0.800975871793724
0.0137;0.123;0.123;0.848605577689243
10;0.123;0.041;0.249653073100855
3.33;0.123;0.041;0.274676574600475
1.11;0.123;0.041;0.357580912305833
0.37;0.123;0.041;0.638345494426787
0.123;0.123;0.041;0.702403867675366
0.041;0.123;0.041;0.804333228882224
0.0137;0.123;0.0137;0.815613948699584
10;0.123;0.0137;0.244997537938135
3.33;0.123;0.0137;0.275034692689914
1.11;0.123;0.0137;0.352746318098393
0.37;0.123;0.0137;0.612023814852948
0.123;0.123;0.0137;0.748824925019025
0.041;0.123;0.0137;0.713505528448006
0.0137;0.123;0.0137;0.754286225882985
10;0.041;20;0.127124405166553
3.33;0.041;20;0.243080508886083
1.11;0.041;20;0.336942798873458
0.37;0.041;20;0.139652325920171
0.123;0.041;20;0.244634359522191
0.041;0.041;20;0.285422938720016
0.0137;0.041;20;0.271535398659804
10;0.041;10;0.128532582305526
3.33;0.041;10;0.279207536175585
1.11;0.041;10;0.347237059337671
0.37;0.041;10;0.258036321258619
0.123;0.041;10;0.491162474507138
0.041;0.041;10;0.506603865203457
0.0137;0.041;10;0.478974458580169
10;0.041;3.33;0.181169272603671
3.33;0.041;3.33;0.288482082159852
1.11;0.041;3.33;0.350684665436535
0.37;0.041;3.33;0.565698747207925
0.123;0.041;3.33;0.779207536175585
0.041;0.041;3.33;0.744634359522191
0.0137;0.041;3.33;0.6909779547441
10;0.041;1.11;0.231378071282898
3.33;0.041;1.11;0.295522967854715
1.11;0.041;1.11;0.360736136738856
0.37;0.041;1.11;0.663931242109352
0.123;0.041;1.11;0.711712149169661
0.041;0.041;1.11;0.765028649121103
0.0137;0.041;1.11;0.786976789356123
10;0.041;0.37;0.252743517529378
3.33;0.041;0.37;0.315188889967952
1.11;0.041;0.37;0.369379430902205
0.37;0.041;0.37;0.72064679032728
0.123;0.041;0.37;0.86656307662426
0.041;0.041;0.37;0.781101291638341
0.0137;0.041;0.37;0.843546664076916
10;0.041;0.123;0.280081577158396
3.33;0.041;0.123;0.308633582596873
1.11;0.041;0.123;0.393221326599981
0.37;0.041;0.123;0.736865106341653
0.123;0.041;0.123;0.816354277945033
0.041;0.041;0.123;0.778284937360396
0.0137;0.041;0.123;0.816208604447897
10;0.041;0.041;0.249878605419054
3.33;0.041;0.041;0.311158589880548
1.11;0.041;0.041;0.36952510439934
0.37;0.041;0.041;0.621248907448772
0.123;0.041;0.041;0.800330193260173
0.041;0.041;0.041;0.741429542585219
0.0137;0.041;0.0137;0.881130426337768
10;0.041;0.0137;0.239390113625328
3.33;0.041;0.0137;0.301544139069632
1.11;0.041;0.0137;0.369282315237448
0.37;0.041;0.0137;0.628678255802661
0.123;0.041;0.0137;0.76245508400505
0.041;0.041;0.0137;0.719190055355929
0.0137;0.041;0.0137;0.919685345246188
10;0.0137;20;0.107395107348333
3.33;0.0137;20;0.250385892698442
1.11;0.0137;20;0.32761120725946
0.37;0.0137;20;0.139202020674494
0.123;0.0137;20;0.225174236400206
0.041;0.0137;20;0.246690677767903
0.0137;0.0137;20;0.237803451985593
10;0.0137;10;0.122690490668413
3.33;0.0137;10;0.267084522194677
1.11;0.0137;10;0.34323401468731
0.37;0.0137;10;0.27466205154591
0.123;0.0137;10;0.512839702511811
0.041;0.0137;10;0.463071238130876
0.0137;0.0137;10;0.473408484961878
10;0.0137;3.33;0.16319753028673
3.33;0.0137;3.33;0.292389728237991
1.11;0.0137;3.33;0.347163103980542
0.37;0.0137;3.33;0.572197015763132
0.123;0.0137;3.33;0.753449646849713
0.041;0.0137;3.33;0.696477852097853
0.0137;0.0137;3.33;0.688432574021236
10;0.0137;1.11;0.227232330791899
3.33;0.0137;1.11;0.279526638289911
1.11;0.0137;1.11;0.361663314467468
0.37;0.0137;1.11;0.625099396604144
0.123;0.0137;1.11;0.738341363019786
0.041;0.0137;1.11;0.730576734178399
0.0137;0.0137;1.11;0.721128209925628
10;0.0137;0.37;0.234716310398054
3.33;0.0137;0.37;0.285888020955143
1.11;0.0137;0.37;0.355208382057159
0.37;0.0137;0.37;0.681369568267927
0.123;0.0137;0.37;0.752935123251789
0.041;0.0137;0.37;0.70148276345947
0.0137;0.0137;0.37;0.681135693905234
10;0.0137;0.123;0.21984190093082
3.33;0.0137;0.123;0.296833341129145
1.11;0.0137;0.123;0.359885869311006
0.37;0.0137;0.123;0.715141026240703
0.123;0.0137;0.123;0.768745030169793
0.041;0.0137;0.123;0.716403947799242
0.0137;0.0137;0.123;0.668506478319847
10;0.0137;0.041;0.261518312362599
3.33;0.0137;0.041;0.279713737780065
1.11;0.0137;0.041;0.349688947097619
0.37;0.0137;0.041;0.635904392160531
0.123;0.0137;0.041;0.680106646709388
0.041;0.0137;0.041;0.729781561345245
0.0137;0.0137;0.0137;0.588942420131905
10;0.0137;0.0137;0.216614434725665
3.33;0.0137;0.0137;0.275784648486833
1.11;0.0137;0.0137;0.346414706019926
0.37;0.0137;0.0137;0.613779877449834
0.123;0.0137;0.0137;0.729875111090322
0.041;0.0137;0.0137;0.668179054212077
0.0137;0.0137;0.0137;0.603349080873755
